Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Waffle House,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Fast Food,  Waffle,  Desserts",3.4,16,600
Nag Restaurant and Banquets,"Alwal, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Chinese,  Seafood",2.1,16,900
Sandwich Eatery,"Nizampet, West Hyderabad", West Hyderabad,Hyderabad,"Fast Food,  Shakes",4.2,16,500
Kenny Rogers Roasters,"Inorbit Mall,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"Health Food,  Continental",4.1,16,1000
Fountain Family Rest O Bar,"Shivaji Nagar, West Pune", West Pune,Pune,"North Indian,  Chinese",4.2,16,1000
Wada By Hotel Gavran Tadka,"Pashan, West Pune", West Pune,Pune,"North Indian,  Maharashtrian",3.7,16,700
Talli Master Resto & Lounge Bar,"Wakad, West Pune", West Pune,Pune,"Multi-Cuisine,  North Indian,  Oriental ",3.9,16,1200
Kimchi,"Kharadi, East Pune", East Pune,Pune,"Thai,  Chinese,  Asian",3.5,16,700
Ego Retro Lounge,"The Peerless Inn,Esplanade, Central Kolkata", Central Kolkata,Kolkata,"Finger Food,  Asian",3.5,16,1500
Taco Bell,"Quest Mall,Ballygunge, South Kolkata", South Kolkata,Kolkata,Mexican,4.7,16,500
Monginis,"Diamond Plaza Mall,Jessore Road, 24 Parganas North", 24 Parganas North,Kolkata,"Desserts,  Bakery and Confectionary,  Fast Food",4.1,16,200
Cheeni Kum Lounge & Bar,"Hotel Narayani Enclave,Kasba, South Kolkata", South Kolkata,Kolkata,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian",4.2,16,1300
The Wall,"Ecosuite Business Tower,Rajarhat, 24 Parganas North", 24 Parganas North,Kolkata,"Asian,  Chinese,  Thai,  Japanese,  Seafood",4,16,1500
Chowman,"Garia, South Kolkata", South Kolkata,Kolkata,"Asian,  Chinese,  Thai,  Seafood,  Oriental ",4.4,16,900
